num,Gender,Age,SBSA1,SBSA2,SBSA3,SBSA4,SBSA5,SBSA6,SBSA7,SBSA8,SBSA9,SBSA10,SBSA11,SBSA12,SBSA13,SBSA14,SBSA15
183,2,19,2,0,0,10,0,0,1,0,1,0,0,0,0,0,0
184,1,20,0,0,0,2,3,1,6,0,0,0,0,0,0,0,0
185,2,21,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0
186,2,23,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0
187,2,20,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
188,1,21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
189,1,22,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5
190,2,21,4,2,2,8,0,3,8,3,2,1,5,4,2,0,5
191,1,20,0,2,0,8,3,0,5,0,0,0,1,2,0,0,0
192,1,20,3,7,0,9,1,4,10,10,2,3,2,7,7,2,3
193,1,22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
194,2,20,5,3,0,3,3,4,8,4,4,1,0,1,1,2,0
195,1,22,10,10,10,10,10,0,10,0,0,10,0,0,0,0,10
196,2,20,2,1,7,7,6,3,5,5,4,3,8,5,2,2,5
197,1,20,0,0,0,0,2,0,1,0,0,2,0,2,2,2,0
198,1,20,3,3,0,5,5,2,5,0,0,0,0,0,0,0,0
199,1,19,5,3,3,5,5,3,6,1,1,1,1,3,1,0,1
200,2,21,2,0,2,8,0,0,9,3,0,3,8,3,5,2,7
201,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,1,20,7,3,0,8,2,0,7,1,1,0,7,2,1,0,0
203,2,22,4,2,4,4,1,0,3,4,2,2,3,3,3,2,3
204,2,22,0,0,0,8,8,0,10,10,0,2,0,0,0,0,5
205,1,19,5,3,3,4,3,6,5,3,6,4,2,4,3,3,2
206,2,20,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0
207,1,20,6,3,4,5,7,3,6,6,1,1,2,1,2,2,0
208,1,20,2,3,8,6,5,2,8,7,2,2,8,5,7,4,7
209,2,20,0,0,0,7,2,0,9,2,2,1,7,2,2,0,1
210,1,20,5,10,10,7,8,2,10,2,2,1,6,3,2,1,5
211,2,21,3,2,2,1,1,2,2,2,3,2,0,1,1,1,2
212,2,20,5,3,3,4,5,3,5,4,3,5,3,4,2,1,0
213,1,19,0,0,5,8,0,0,0,5,5,0,2,1,1,0,1
214,2,20,2,0,0,2,2,0,10,2,0,1,2,1,0,0,4
215,2,20,3,3,4,1,2,0,1,1,1,2,0,4,0,0,0
216,1,21,5,5,0,5,0,1,2,5,2,0,0,0,0,0,0
217,2,21,5,2,3,7,0,0,8,5,0,6,3,0,0,0,3
218,1,20,0,1,1,1,0,0,8,2,0,0,3,0,0,0,2
219,1,21,4,0,0,8,4,0,8,0,0,0,0,0,0,0,0
